method,token_length,needle_depth,accuracy,samples,rouge_l_f1
block_wise,5888,10,0.0,3,0.16239315757451253
block_wise,5888,20,0.6666666666666666,3,0.7231182749550165
block_wise,5888,30,0.6666666666666666,3,0.501487069214061
block_wise,5888,40,0.0,3,0.16225489715128172
block_wise,5888,50,0.0,3,0.5408163217951721
block_wise,5888,60,0.3333333333333333,3,0.6617443201978529
block_wise,5888,70,0.6666666666666666,3,0.7131182749175166
block_wise,5888,80,0.0,3,0.6455313961450019
block_wise,5888,90,1.0,3,0.7096774147762748
block_wise,5888,100,0.0,3,0.3516908180976608
block_wise,6144,0,0.0,3,0.33363567157340146
block_wise,6144,10,0.0,3,0.2098108698340544
block_wise,6144,20,0.0,3,0.2100524157302037
block_wise,6144,30,0.0,3,0.20804495226452882
block_wise,6144,40,0.0,3,0.19787850268672544
block_wise,6144,50,0.0,3,0.23803361437567772
block_wise,6144,60,0.0,3,0.3105376296824142
block_wise,6144,70,1.0,3,0.7264516082508498
block_wise,6144,80,0.3333333333333333,3,0.44263180795427076
block_wise,6144,90,0.3333333333333333,3,0.5055649836239989
block_wise,6144,100,0.0,3,0.26086956294896035
block_wise,6400,0,0.0,3,0.3634751724830712
block_wise,6400,10,0.0,3,0.2948900441634387
block_wise,6400,20,0.0,3,0.4269162161389506
block_wise,6400,30,0.0,3,0.1773337896987998
block_wise,6400,40,0.0,3,0.3131975320642746
block_wise,6400,50,0.3333333333333333,3,0.5485746389136731
block_wise,6400,60,0.0,3,0.3867375838602856
block_wise,6400,70,0.3333333333333333,3,0.5976702468814435
block_wise,6400,80,0.6666666666666666,3,0.7231182749550165
block_wise,6400,90,0.6666666666666666,3,0.5531182749175165
block_wise,6400,100,0.0,3,0.26086956294896035
block_wise,6656,0,0.0,3,0.33163264827784444
block_wise,6656,10,0.0,3,0.20951536155982273
block_wise,6656,20,0.0,3,0.284323790825798
block_wise,6656,30,0.0,3,0.3484042505065819
block_wise,6656,40,0.6666666666666666,3,0.5175627193158705
block_wise,6656,50,0.6666666666666666,3,0.5175627193158705
block_wise,6656,60,0.6666666666666666,3,0.7316216762676206
block_wise,6656,70,0.0,3,0.38140096221884073
block_wise,6656,80,0.6666666666666666,3,0.7231182749550165
block_wise,6656,90,0.6666666666666666,3,0.6731182749175165
block_wise,6656,100,0.0,3,0.3072463742326403
block_wise,6912,0,0.0,3,0.5533333286083334
block_wise,6912,10,0.0,3,0.16896060261937929
block_wise,6912,20,0.0,3,0.2964222681016458
block_wise,6912,30,0.0,3,0.20697640273373355
block_wise,6912,40,1.0,3,0.7096774147762748
block_wise,6912,50,0.0,3,0.5952380905026552
block_wise,6912,60,0.6666666666666666,3,0.7231182749550165
block_wise,6912,70,0.0,3,0.6904761859906463
block_wise,6912,80,1.0,3,0.7096774147762748
block_wise,6912,90,1.0,3,0.7096774147762748
block_wise,6912,100,0.0,3,0.26086956294896035
block_wise,7168,0,0.0,3,0.4841074314780667
block_wise,7168,10,0.0,3,0.129982988424339
block_wise,7168,20,0.0,3,0.5555555507844651
block_wise,7168,30,0.3333333333333333,3,0.4842720134761957
block_wise,7168,40,0.0,3,0.5933333286083333
block_wise,7168,50,0.0,3,0.16350876706777487
block_wise,7168,60,1.0,3,0.7096774147762748
block_wise,7168,70,1.0,3,0.7096774147762748
block_wise,7168,80,0.6666666666666666,3,0.6635944653832669
block_wise,7168,90,1.0,3,0.7096774147762748
block_wise,7168,100,0.0,3,0.26086956294896035
block_wise,7424,0,0.0,3,0.5051431151551106
block_wise,7424,10,0.0,3,0.2607709709098833
block_wise,7424,20,0.0,3,0.4722222188078704
block_wise,7424,30,0.0,3,0.7499999953125
block_wise,7424,40,0.0,3,0.5333333285416667
block_wise,7424,50,0.0,3,0.49086671260396053
block_wise,7424,60,0.0,3,0.5544217639720429
block_wise,7424,70,1.0,3,0.7096774147762748
block_wise,7424,80,0.6666666666666666,3,0.7231182749550165
block_wise,7424,90,0.0,3,0.6904761859906463
